年份,国有控股工业企业主营业务成本,煤炭开采和洗选业国有控股工业企业主营业务成本,石油和天然气开采业国有控股工业企业主营业务成本,黑色金属矿采选业国有控股工业企业主营业务成本,有色金属矿采选业国有控股工业企业主营业务成本,非金属矿采选业国有控股工业企业主营业务成本,其他采矿业国有控股工业企业主营业务成本,农副食品加工业国有控股工业企业主营业务成本,食品制造业国有控股工业企业主营业务成本,饮料制造业国有控股工业企业主营业务成本,烟草制品业国有控股工业企业主营业务成本,纺织业国有控股工业企业主营业务成本,纺织服装、鞋、帽制造业国有控股工业企业主营业务成本,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业主营业务成本,木材加工及木、竹、藤、棕、草制品业国有控股工业企业主营业务成本,家具制造业国有控股工业企业主营业务成本,造纸及纸制品业国有控股工业企业主营业务成本,印刷业和记录媒介的复制国有控股工业企业主营业务成本,文教体育用品制造业国有控股工业企业主营业务成本,石油加工、炼焦及核燃料加工业国有控股工业企业主营业务成本,化学原料及化学制品制造业国有控股工业企业主营业务成本,医药制造业国有控股工业企业主营业务成本,化学纤维制造业国有控股工业企业主营业务成本,橡胶制品业国有控股工业企业主营业务成本,塑料制品业国有控股工业企业主营业务成本,非金属矿物制品业国有控股工业企业主营业务成本,黑色金属冶炼及压延加工业国有控股工业企业主营业务成本,有色金属冶炼及压延加工业国有控股工业企业主营业务成本,金属制品业国有控股工业企业主营业务成本,通用设备制造业国有控股工业企业主营业务成本,专用设备制造业国有控股工业企业主营业务成本,交通运输设备制造业国有控股工业企业主营业务成本,电气机械及器材制造业国有控股工业企业主营业务成本,通信设备、计算机及其他电子设备制造国有控股工业企业主营业务成本,仪器仪表及文化、办公用机械制造业国有控股工业企业主营业务成本,工艺品及其他制造业国有控股工业企业主营业务成本,废弃资源和废旧材料回收加工业国有控股工业企业主营业务成本,电力、热力的生产和供应业国有控股工业企业主营业务成本,燃气生产和供应业国有控股工业企业主营业务成本,水的生产和供应业国有控股工业企业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,187783.79,13015.16972,5473.35984,1358.34096,1004.55953,319.30143,,2234.878,690.8388,1336.6058,1823.82482,783.25854,171.59656,30.12084,166.50838,73.50893,708.85976,341.32949,29.41119,22214.91827,10004.72475,1397.72567,531.19237,889.13903,384.971,3211.19146,23729.41145,10611.25136,1179.86335,4226.96575,4451.10643,23552.73042,3746.32139,4446.30411,599.95797,589.44719,145.72324,40425.24781,1260.62223,623.50691
2010,158727.43,9902.79093,5422.11679,940.24935,867.13622,243.53343,0.41311,1859.7138,677.87385,1017.04099,1711.94845,655.55317,154.7033,25.98494,140.85905,106.40943,725.02331,335.3905,27.57429,16913.88148,8150.15374,1171.55709,452.10958,743.94369,314.50549,2529.16701,21200.60545,8318.01514,992.79064,3814.81369,4063.47949,21617.32662,3113.48098,3775.60655,499.13292,392.24859,154.26092,34117.98372,968.24442,609.80541
2009,124590.48,7850.59448,4545.25646,387.04239,641.03255,190.50513,0.04359,1404.12291,517.9093,949.60543,1467.62218,556.19695,119.81231,21.52945,128.37507,69.96226,542.70896,292.04517,25.45354,11668.69707,6593.84925,837.41664,372.87264,525.92619,297.61933,1893.01852,16789.62038,5843.39566,843.4453,3574.7821,3510.05015,16054.99501,2268.61049,3262.03742,392.17719,271.17945,219.25452,28405.99552,750.41737,505.30626
2008,122504.18,6168.53405,4833.81874,420.14347,605.4254,175.94507,0.02973,1187.64752,556.8302,816.63798,1296.49056,624.57327,101.36438,38.49525,123.33993,56.0926,566.73771,281.13707,35.91874,16849.37764,7093.58711,828.84056,456.26641,541.37794,345.78202,1829.10545,18255.71459,5807.29048,877.16913,3295.39149,3026.13061,12691.32785,2084.22924,3055.11228,380.79701,228.53181,131.9925,25656.09932,713.69763,467.19341
2007,98515.08,4258.3107,3949.79481,232.48394,519.36937,142.6455,0.03852,1255.87954,452.35881,708.08958,1210.57867,781.91282,107.12794,19.74737,109.61691,59.83888,398.57863,257.69471,27.79264,12746.75318,6009.82647,812.96603,664.52595,455.63772,255.87209,1322.89057,13486.12797,5071.42915,735.69184,2851.61927,2194.46119,11138.95167,1774.77064,2237.38625,276.83156,197.54278,56.53044,20825.10889,514.21631,394.08126
2006,81957.8,3531.17,3200.31,180.85,466.17,143.59,0.05,1048.53,470.83,594.83,1092.68,841.82,82.66,22.23,152.97,60.58,494.62,225.41,30.24,11124.54,5271.56,697.85,608.81,369.77,259.99,1123.97,10147.66,3640.89,540.16,2361.05,1732.65,8692.95,1562.72,2212.13,237.03,145.43,28.51,17719.55,470.31,370.72
2005,69302.41,2748.6277,2404.61037,138.55641,296.80116,92.1915,2.02195,1049.62109,379.39589,550.89909,1017.35711,835.39324,89.66365,19.40499,144.14702,47.12311,492.22691,220.28525,25.16481,9353.78426,4295.58247,747.98553,523.66809,347.53715,258.67706,992.36189,9028.12318,2315.20534,416.89425,1944.65224,1520.52997,6903.93469,1220.77926,3095.90251,209.99218,98.06305,8.53042,14771.3451,366.01239,329.35534
2004,57187.96,2057.12058,2082.4479,142.37818,232.08849,105.7055,0.18807,924.06555,264.6461,373.88913,916.40222,856.41565,87.18343,23.69533,111.04443,49.57212,409.42404,220.42756,33.12896,6274.32916,3560.62876,597.92215,436.63188,261.30752,289.98921,919.14899,7494.41666,1818.38278,364.5308,1648.98797,1260.04516,6360.07437,964.72962,2880.06638,199.55312,113.33006,7.626,12220.18139,320.32132,305.93775
2003,45987.63,1311.70407,1614.53973,87.29262,164.58704,99.41614,9.80403,950.42357,304.00144,523.3266,840.60168,1121.58922,95.58759,33.05324,96.03415,21.65244,417.61968,197.65688,28.22903,4861.89645,3062.90836,720.30156,330.64244,254.45058,190.78331,816.12,5078.88579,1237.74888,300.95541,1365.61919,1195.39879,5669.49585,774.6088,2818.27295,139.83268,57.68823,0.69502,8669.09013,263.92066,261.19927
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
