年份,国有控股工业企业销售费用,煤炭开采和洗选业国有控股工业企业销售费用,石油和天然气开采业国有控股工业企业销售费用,黑色金属矿采选业国有控股工业企业销售费用,有色金属矿采选业国有控股工业企业销售费用,非金属矿采选业国有控股工业企业销售费用,其他采矿业国有控股工业企业销售费用,农副食品加工业国有控股工业企业销售费用,食品制造业国有控股工业企业销售费用,饮料制造业国有控股工业企业销售费用,烟草制品业国有控股工业企业销售费用,纺织业国有控股工业企业销售费用,纺织服装、鞋、帽制造业国有控股工业企业销售费用,皮革、毛皮、羽毛(绒)及其制品业国有控股工业企业销售费用,木材加工及木、竹、藤、棕、草制品业国有控股工业企业销售费用,家具制造业国有控股工业企业销售费用,造纸及纸制品业国有控股工业企业销售费用,印刷业和记录媒介的复制国有控股工业企业销售费用,文教体育用品制造业国有控股工业企业销售费用,石油加工、炼焦及核燃料加工业国有控股工业企业销售费用,化学原料及化学制品制造业国有控股工业企业销售费用,医药制造业国有控股工业企业销售费用,化学纤维制造业国有控股工业企业销售费用,橡胶制品业国有控股工业企业销售费用,塑料制品业国有控股工业企业销售费用,非金属矿物制品业国有控股工业企业销售费用,黑色金属冶炼及压延加工业国有控股工业企业销售费用,有色金属冶炼及压延加工业国有控股工业企业销售费用,金属制品业国有控股工业企业销售费用,通用设备制造业国有控股工业企业销售费用,专用设备制造业国有控股工业企业销售费用,交通运输设备制造业国有控股工业企业销售费用,电气机械及器材制造业国有控股工业企业销售费用,通信设备、计算机及其他电子设备制造国有控股工业企业销售费用,仪器仪表及文化、办公用机械制造业国有控股工业企业销售费用,工艺品及其他制造业国有控股工业企业销售费用,废弃资源和废旧材料回收加工业国有控股工业企业销售费用,电力、热力的生产和供应业国有控股工业企业销售费用,燃气生产和供应业国有控股工业企业销售费用,水的生产和供应业国有控股工业企业销售费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,4255.86955,416.9118,44.7595,30.17112,11.41557,23.87929,,58.14869,92.80938,191.71288,141.91663,11.84946,7.88652,0.53728,4.50368,2.20614,22.04595,9.07866,1.58329,107.78735,219.3087,224.63778,7.79367,26.84718,13.11926,120.13012,239.14115,89.40788,29.19724,138.75002,174.59064,909.63383,223.33763,339.38576,29.74643,6.59554,1.20201,178.78916,44.29649,60.75587
2010,3739.48501,335.18445,51.6798,23.8032,10.20088,19.89031,,51.70829,80.48341,143.10232,121.06764,11.18954,6.9552,0.56185,4.84384,1.73965,23.95556,7.99288,1.6686,98.16099,198.67096,196.32113,6.89134,24.53631,12.30412,108.39312,220.069,69.15722,27.59289,120.62712,143.83911,880.39805,212.5179,283.38694,26.43883,5.3441,1.75555,119.13976,32.21292,55.70023
2009,3042.14217,295.87515,40.08265,17.58819,8.91043,16.14701,0.00151,40.05316,78.05381,136.2798,103.93196,11.55206,5.12975,0.64072,3.70077,1.10843,20.67552,6.9115,1.32565,84.59285,170.90955,156.73959,6.43273,21.91071,12.3926,87.12295,183.23247,55.82924,21.78255,104.88477,113.09332,637.22647,162.87012,244.40857,20.90211,3.93562,4.31878,81.44756,34.29957,45.84197
2008,2753.09376,260.89371,38.87786,15.16721,9.96834,15.65519,0.00123,31.51033,69.92206,120.85844,95.93017,11.8722,4.08114,0.73475,5.81714,0.88015,19.39548,6.46777,1.82672,81.65679,147.89057,157.25386,6.62761,18.27064,12.15833,88.88045,233.52949,57.62363,21.48619,94.43093,100.84666,512.57805,131.66988,218.26581,19.33045,4.99158,2.895,61.91449,29.88308,41.05038
2007,2487.58338,231.82052,57.678,11.12411,9.06851,14.25334,0.00164,36.9274,60.82688,112.35586,83.9519,16.59372,5.03462,0.69105,5.58209,1.38564,14.21844,6.42226,1.5202,73.78604,159.29306,145.97939,8.63959,17.07667,9.86076,72.35294,224.67984,49.98797,21.03688,99.08717,83.00233,449.54844,115.63323,157.41305,16.21875,4.79297,0.46955,48.59611,24.82767,35.84479
2006,2081.28,204.42,42.4,8.12,6.96,15.99,0.03,32.07,58.89,92.44,92.39,16.78,4.43,0.6,10.32,1.64,18.48,5.19,1.69,58.51,135.86,133.15,8.08,12.96,10.81,61.83,153.63,39.45,16.88,79.65,61.92,354.35,98.6,130.5,14.58,3.21,0.31,39.94,21.93,32.25
2005,1869.6909,168.60553,42.1796,6.54731,5.28962,12.73405,0.20239,32.40378,53.46258,83.48344,89.91081,15.71236,3.47332,0.52323,9.08267,1.34061,17.9141,5.31769,1.295,56.15923,125.15778,139.65835,7.41282,16.09441,9.18081,60.00686,123.99679,34.40363,13.87485,70.40049,53.72548,254.68368,84.76268,173.77173,13.38142,2.16374,0.32566,37.68311,18.35064,25.01865
2004,1692.23048,162.03915,36.41305,5.16419,3.80121,15.26768,,30.33486,31.93974,73.54755,84.85472,17.74074,2.98995,0.82822,6.48704,1.69923,18.64883,5.92015,1.65797,45.97681,107.47263,123.51445,6.4712,13.93386,9.05997,54.49965,98.06435,27.92847,13.26922,67.7219,68.38185,235.85335,70.95471,163.08136,13.64561,2.22117,0.06256,33.44516,16.00344,21.33448
2003,1668.47242,132.20018,27.59594,3.8448,4.63563,15.2305,0.40689,35.61004,39.29384,106.6163,80.29203,23.74393,4.05593,1.62839,5.73389,1.39594,18.5087,5.78421,1.45901,42.03254,96.06572,155.13133,7.49944,11.3167,7.4194,54.54454,75.73779,22.51729,13.51834,68.47201,51.11258,229.49764,58.91984,168.3414,10.79142,1.38971,0.0462,55.9002,11.95915,18.22303
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
