年份,国有控股工业企业固定资产合计,煤炭开采和洗选业国有控股工业企业固定资产合计,石油和天然气开采业国有控股工业企业固定资产合计,黑色金属矿采选业国有控股工业企业固定资产合计,有色金属矿采选业国有控股工业企业固定资产合计,非金属矿采选业国有控股工业企业固定资产合计,开采辅助活动国有控股工业企业固定资产合计,其他采矿业国有控股工业企业固定资产合计,农副食品加工业国有控股工业企业固定资产合计,食品制造业国有控股工业企业固定资产合计,酒、饮料和精制茶制造业国有控股工业企业固定资产合计,烟草制品业国有控股工业企业固定资产合计,纺织业国有控股工业企业固定资产合计,纺织服装、服饰业国有控股工业企业固定资产合计,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业固定资产合计,木材加工和木、竹、藤、棕、草制品业国有控股工业企业固定资产合计,家具制造业国有控股工业企业固定资产合计,造纸和纸制品业国有控股工业企业固定资产合计,印刷和记录媒介复制业国有控股工业企业固定资产合计,文教、工美、体育和娱乐用品制造业国有控股工业企业固定资产合计,石油加工、炼焦和核燃料加工业国有控股工业企业固定资产合计,化学原料和化学制品制造业国有控股工业企业固定资产合计,医药制造业国有控股工业企业固定资产合计,化学纤维制造业国有控股工业企业固定资产合计,橡胶和塑料制品业国有控股工业企业固定资产合计,非金属矿物制品业国有控股工业企业固定资产合计,黑色金属冶炼和压延加工业国有控股工业企业固定资产合计,有色金属冶炼和压延加工业国有控股工业企业固定资产合计,金属制品业国有控股工业企业固定资产合计,通用设备制造业国有控股工业企业固定资产合计,专用设备制造业国有控股工业企业固定资产合计,汽车制造业国有控股工业企业固定资产合计,铁路、船舶、航空航天和其他运输设备国有控股工业企业固定资产合计,电气机械和器材制造业国有控股工业企业固定资产合计,计算机、通信和其他电子设备制造业国有控股工业企业固定资产合计,仪器仪表制造业国有控股工业企业固定资产合计,其他制造业国有控股工业企业固定资产合计,废弃资源综合利用业国有控股工业企业固定资产合计,金属制品、机械和设备修理业国有控股工业企业固定资产合计,电力、热力生产和供应业国有控股工业企业固定资产合计,燃气生产和供应业国有控股工业企业固定资产合计,水的生产和供应业国有控股工业企业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,174620.83,13288.06,13114.86,1495.77,1285.88,260.42,800.41,,545.87,365.36,1005.34,1409.88,303.76,71.54,14.61,77.2,15.09,488.45,222.81,22.67,6148.68,10771.85,964.77,508.38,463.99,3578.0,13031.62,4886.99,929.79,1427.6,1783.23,6555.49,2517.61,1190.89,3134.52,235.35,294.74,79.25,257.46,74344.4,2296.59,4430.44
2016,178816.32,14566.26,14505.29,1246.44,1181.0,371.23,893.37,,674.23,340.85,1020.49,1460.69,360.73,63.47,10.59,83.22,13.13,517.32,234.66,38.01,7203.58,10919.87,1063.1,421.24,450.75,3949.81,13620.07,4921.53,721.88,1624.07,1682.8,6314.69,2702.76,1153.95,2910.31,217.52,303.88,69.83,356.32,74415.05,1964.92,4246.22
2015,174671.96,15837.06,14832.73,1263.4,1085.73,326.94,868.27,1.62,651.67,338.53,915.12,1446.76,372.07,64.05,8.67,96.54,14.29,617.41,252.85,36.48,6191.38,10649.78,965.88,311.78,451.1,3882.34,13829.65,5118.98,813.74,1616.77,1979.36,5644.25,2518.79,1155.7,2601.04,226.14,279.95,55.82,212.84,71543.24,1758.92,3834.3
2014,164827.72,15210.1,14503.18,1208.28,954.13,349.3,812.94,0.94,617.66,303.15,821.88,1267.72,383.09,60.72,9.49,89.35,10.09,644.93,247.01,34.71,6381.98,9609.39,912.57,288.77,475.65,3682.8,13144.94,5045.6,935.85,1679.21,1742.39,5461.18,2578.94,1145.91,2396.86,216.33,280.7,28.54,185.31,66135.74,1591.84,3378.57
2013,146122.27,13777.25,11214.03,1140.41,770.17,306.61,885.14,0.79,573.72,293.86,755.28,1219.11,380.97,59.18,10.91,81.92,10.32,663.6,252.32,33.44,5677.66,8595.61,847.13,277.5,472.45,3474.84,12691.09,4552.87,800.26,1531.75,1803.39,4528.67,2556.44,1079.91,2007.41,223.0,283.97,40.7,208.19,57700.88,1183.63,3155.9
2012,136168.03494,12259.25207,11027.4809,976.02234,708.75198,260.79086,831.03042,0.77646,462.27493,277.47298,725.74765,1175.29893,343.81756,49.86448,14.68486,80.27417,17.94154,700.29182,243.14038,25.12961,5906.18395,7533.32696,790.45899,271.37448,415.90372,3135.54361,12141.84378,4197.78014,751.01223,1414.20134,1626.44758,4227.93425,2525.10487,1120.06785,1966.32861,211.48046,209.40191,24.78976,200.48726,53256.05425,1203.10562,2859.15938
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
