年份,外商及港澳台商投资工业企业本年应交增值税,煤炭开采和洗选业外商及港澳台商投资工业企业本年应交增值税,石油和天然气开采业外商及港澳台商投资工业企业本年应交增值税,黑色金属矿采选业外商及港澳台商投资工业企业本年应交增值税,有色金属矿采选业外商及港澳台商投资工业企业本年应交增值税,非金属矿采选业外商及港澳台商投资工业企业本年应交增值税,其他采矿业外商及港澳台商投资工业企业本年应交增值税,农副食品加工业外商及港澳台商投资工业企业本年应交增值税,食品制造业外商及港澳台商投资工业企业本年应交增值税,饮料制造业外商及港澳台商投资工业企业本年应交增值税,烟草制品业外商及港澳台商投资工业企业本年应交增值税,纺织业外商及港澳台商投资工业企业本年应交增值税,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业本年应交增值税,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业本年应交增值税,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业本年应交增值税,家具制造业外商及港澳台商投资工业企业本年应交增值税,造纸及纸制品业外商及港澳台商投资工业企业本年应交增值税,印刷业和记录媒介的复制外商及港澳台商投资工业企业本年应交增值税,文教体育用品制造业外商及港澳台商投资工业企业本年应交增值税,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业本年应交增值税,化学原料及化学制品制造业外商及港澳台商投资工业企业本年应交增值税,医药制造业外商及港澳台商投资工业企业本年应交增值税,化学纤维制造业外商及港澳台商投资工业企业本年应交增值税,橡胶制品业外商及港澳台商投资工业企业本年应交增值税,塑料制品业外商及港澳台商投资工业企业本年应交增值税,非金属矿物制品业外商及港澳台商投资工业企业本年应交增值税,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业本年应交增值税,有色金属冶炼及压延加工业外商及港澳台商投资工业企业本年应交增值税,金属制品业外商及港澳台商投资工业企业本年应交增值税,通用设备制造业外商及港澳台商投资工业企业本年应交增值税,专用设备制造业外商及港澳台商投资工业企业本年应交增值税,交通运输设备制造业外商及港澳台商投资工业企业本年应交增值税,电气机械及器材制造业外商及港澳台商投资工业企业本年应交增值税,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业本年应交增值税,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业本年应交增值税,工艺品及其他制造业外商及港澳台商投资工业企业本年应交增值税,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业本年应交增值税,电力、热力的生产和供应业外商及港澳台商投资工业企业本年应交增值税,燃气生产和供应业外商及港澳台商投资工业企业本年应交增值税,水的生产和供应业外商及港澳台商投资工业企业本年应交增值税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,5674.87,130.66949,52.76209,9.07405,8.6689,7.25542,,197.67432,199.70591,144.42168,0.67599,155.41244,135.06554,107.53873,22.73445,36.222,90.17609,32.3999,33.08532,170.97451,526.88387,217.73761,36.24393,45.92463,99.26873,189.49241,149.88756,118.21175,126.00615,243.80682,143.45659,993.80482,346.26051,623.43017,64.23234,49.58304,8.46425,120.83983,29.64149,7.1804
2010,5121.08,83.66886,50.09983,6.54866,12.71451,6.14629,,164.07204,165.00236,136.33837,0.5121,139.53088,129.42739,94.0365,23.35824,32.83131,89.7767,28.33549,30.75379,161.22703,431.63288,180.84588,32.65773,47.96423,95.12534,179.73882,138.99705,96.32803,119.55945,224.2805,142.48375,983.86694,294.00916,520.71232,58.16474,40.99408,11.7937,131.60204,29.42213,6.51767
2009,4034.05,25.60024,26.30795,4.46932,7.41264,5.11705,,118.62054,146.27889,127.85194,0.44912,121.06929,115.54253,77.44281,23.22489,26.6893,83.09325,27.23645,25.34923,97.09854,361.77622,151.68037,22.24844,54.14589,79.91969,145.95074,122.117,69.51661,95.03236,202.46085,115.53522,713.63021,274.37098,293.3269,45.57313,37.09562,5.17986,158.83925,21.335,5.4644
2008,3916.89,22.1409,61.9914,7.14264,8.7997,6.50615,0.00093,120.1034,137.74366,124.35848,0.55621,129.34074,124.0852,79.55672,24.33567,29.11942,79.63431,33.0261,26.82977,60.87797,369.30068,129.91464,22.65102,47.22596,86.97613,147.53155,176.03931,82.6753,118.83131,169.72521,104.00237,497.05685,249.43638,353.45835,41.42884,44.77469,4.79946,156.43785,33.22268,5.24724
2007,3016.72,11.64505,27.94603,3.4983,4.29193,7.07159,0.00242,73.52724,103.42455,99.92822,1.10582,100.02913,87.0105,58.46684,20.83878,20.67031,73.70203,24.59867,18.10331,78.3829,292.82632,97.84062,26.546,32.96822,66.2161,117.96754,126.28278,63.61777,77.50758,122.78532,73.5597,416.60523,166.46826,225.65161,40.3454,31.73223,2.23684,200.20904,17.25312,3.85611
2006,2361.95,7.35,27.43,1.4,2.48,3.42,0.0,58.15,82.7,86.88,1.01,76.84,67.77,49.57,12.93,17.88,61.4,20.93,18.23,52.01,194.44,76.1,15.47,18.55,56.28,79.29,98.19,35.05,59.44,91.12,53.95,309.04,137.65,233.38,43.64,24.11,1.74,173.9,10.07,2.12
2005,1811.52,4.48222,23.65932,0.65177,1.5849,2.58579,0.29214,45.16441,67.78074,64.85781,1.06554,63.25734,51.10366,37.20289,10.85196,11.42661,43.93674,17.97404,12.0291,42.39689,155.59268,67.76891,12.55553,16.93128,40.17017,59.21139,64.02635,21.28646,38.70505,73.65412,38.87454,237.98808,92.8044,182.01713,25.66143,18.31123,0.79268,157.98165,2.44516,2.43599
2004,1508.66,3.51165,6.50889,0.48534,1.47309,1.62206,0.00061,28.12858,58.27136,57.85242,1.10644,50.55278,38.7312,23.95169,8.32469,9.004,38.49641,15.16742,7.80577,38.28822,132.13322,55.34528,12.34792,16.10463,34.3956,53.99566,55.46972,19.25688,28.76928,63.17763,39.13266,177.98089,73.2038,170.28427,24.8496,12.20965,1.09094,146.18021,1.66036,1.79031
2003,1189.01,0.46314,11.70917,0.12065,0.20353,0.91925,,23.22809,44.56463,46.52484,1.54709,32.44699,32.85154,18.94041,6.28606,6.02144,35.87726,14.88941,5.31489,24.15364,95.73155,43.80643,8.88238,12.54226,29.51226,39.53848,30.51089,7.61393,24.13107,41.65049,22.61463,185.31567,56.91193,139.01772,16.62919,8.68751,0.11514,118.07317,0.56787,1.09138
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
