年份,专利申请授权量,发明专利申请授权量,国内发明专利申请授权量,职务发明专利申请授权量_x,大专院校发明专利申请授权量,科研单位发明专利申请授权量,企业发明专利申请授权量,机关团体发明专利申请授权量,非职务发明专利申请授权量_x,国外发明专利申请授权量,职务发明专利申请授权量_y,非职务发明专利申请授权量_y,实用新型专利申请授权量,国内实用新型专利申请授权量,职务实用新型专利申请授权量_x,大专院校实用新型专利申请授权量,科研单位实用新型专利申请授权量,企业实用新型专利申请授权量,机关团体实用新型专利申请授权量,非职务实用新型专利申请授权量_x,国外实用新型专利申请授权量,职务实用新型专利申请授权量_y,非职务实用新型专利申请授权量_y,外观设计专利申请授权量,国内外观设计专利申请授权量,职务外观设计专利申请授权量_x,大专院校外观设计专利申请授权量,科研单位外观设计专利申请授权量,企业外观设计专利申请授权量,机关团体外观设计专利申请授权量,非职务外观设计专利申请授权量_x,国外外观设计专利申请授权量,职务外观设计专利申请授权量_y,非职务外观设计专利申请授权量_y
2019,2591607,452804,360919,344361,91188,26798,222439,3936,16558,91885,90647,1238,1582274,1574205,1400989,106453,20967,1234065,39504,173216,8069,7617,452,556529,539282,324245,20050,1121,300602,2472,215037,17247,16297,950
2018,2447460,432147,345959,322776,74893,20508,222287,5088,23183,86188,85021,1167,1479062,1471759,1284510,103671,18773,1143867,18199,187249,7303,6835,468,536251,517693,306829,15436,1046,288903,1444,210864,18558,17708,850
2017,1836434,420144,326970,303577,75693,22369,200804,4711,23393,93174,91817,1357,973294,967416,825126,83497,14617,713043,13969,142290,5878,5434,444,442996,426442,235520,11231,819,222582,888,190922,16554,15575,979
2016,1753763,404208,302136,276007,62311,20109,189564,4023,26129,102072,100466,1606,903420,897035,734885,77166,13908,631299,12512,162150,6385,5962,423,446135,429710,221633,10283,903,209495,952,208077,16425,15566,859
2015,1718192,359316,263436,238818,57196,19243,158620,3759,24618,95880,94325,1555,876217,868734,687372,68827,13680,592771,12094,181362,7483,7030,453,482659,464807,249538,10311,728,237326,1173,215269,17852,16878,974
2014,1302687,233228,162680,146172,38317,13573,91874,2408,16508,70548,69301,1247,707883,699971,564055,47600,12238,497268,6949,135916,7912,7451,461,361576,346751,189210,6571,769,181188,682,157541,14825,14021,804
2013,1313000,207688,143535,126860,33309,12284,79439,1828,16675,64153,62991,1162,692845,686208,512203,43085,11319,451662,6137,174005,6637,6233,404,412467,398670,233534,8644,1275,221575,2040,165136,13797,13116,681
2012,1255138,217105,143847,125954,33821,11248,78651,2234,17893,73258,71871,1387,571175,566750,410763,33389,7754,359990,9630,155987,4425,4085,340,466858,452629,262217,10073,850,246879,4415,190412,14229,13608,621
2011,960513,172113,112347,95069,26616,9238,58364,851,17278,59766,58541,1225,408110,405086,271345,21190,8016,236959,5180,133741,3024,2662,362,380290,366428,192958,8678,523,179464,4293,173470,13862,13250,612
2010,814825,135110,79767,66149,19036,6557,40049,507,13618,55343,54169,1174,344472,342256,209275,16002,7074,183289,2910,132981,2216,1903,313,335243,318597,146407,8115,637,135680,1975,172190,16646,15851,795
2009,581992,128489,65391,52265,14391,5299,32160,415,13126,63098,61422,1676,203802,202113,110625,9166,4503,95407,1549,91488,1689,1400,289,249701,234282,99332,4390,467,90754,3721,134950,15419,14852,567
2008,411982,93706,46590,36955,10265,3945,22493,252,9635,47116,46112,1004,176675,175169,82914,7242,4161,70242,1269,92255,1506,1179,327,141601,130647,49375,1652,238,45802,1683,81272,10954,10598,356
2007,351782,67948,31945,24488,8214,3173,12851,250,7457,36003,35132,871,150036,148391,62975,5502,3101,53451,921,85416,1645,1342,303,133798,121296,46350,1057,284,42515,2494,74946,12502,12053,449
2006,268002,57786,25077,18400,6198,2553,9433,216,6677,32709,31757,952,107655,106312,42258,3453,2484,35667,654,64054,1343,1079,264,102561,92471,32473,806,276,31279,112,59998,10090,9630,460
2005,214003,53305,20705,14761,4453,2423,7712,173,5944,32600,31555,1045,79349,78137,29191,2391,1599,24743,458,48946,1212,1011,201,81349,72777,27566,555,170,26658,183,45211,8572,8254,318
2004,190238,49360,18241,12176,3484,2406,6128,158,6065,31119,30089,1030,70623,70019,26218,1910,1557,22299,452,43801,604,485,119,70255,63068,24171,111,174,23830,56,38897,7187,6936,251
2003,182226,37154,11404,6895,1730,1677,3382,106,4509,25750,24849,901,68906,68291,24008,1582,1485,20485,456,44283,615,498,117,76166,69893,31465,104,270,31002,89,38428,6273,6113,160
2002,132399,21473,5868,3144,697,907,1461,79,2724,15605,15013,592,57484,57092,18369,973,1276,15753,367,38723,392,252,140,53442,49143,20020,40,140,19802,38,29123,4299,4106,193
2001,114251,16296,5395,2614,579,800,1089,146,2781,10901,10455,446,54359,54018,16544,943,1473,13783,345,37474,341,241,100,43596,39865,19220,12,155,19015,38,20645,3731,3567,164
2000,105345,12683,6177,2824,652,910,1016,246,3353,6506,6222,284,54743,54407,15519,868,1529,12821,301,38888,336,261,75,37919,34652,17789,28,248,17482,31,16863,3267,3108,159
